total:11571866183
total:11967345168
total:12869281877
total:12864789591
total:12550071956
total:12552839421
total:12884855699
total:13670180488
total:13609748077
total:14067123277
total:14403805675
total:14606247457
total:15004912678
total:14440781998
total:15184940770
total:15503102814
total:12823001907
total:12443699584
total:13976103179
total:12938287329
total:33789070908
total:35147681032
total:34961426883
total:36045858341
total:34830722533
total:35878853472
total:36394405443
total:36888366017
total:36237486938
total:37126802764
total:37574219094
total:37915740608
total:37637262729
total:39094575940
total:39127215508
total:39649097127
total:34425860029
total:39373522270
total:40618142144
total:40242473147
total:65865829354
total:67600385321
total:68724963965
total:69242052110
total:69404626938
total:69316957634
total:69917103847
total:71183180178
total:72525307756
total:72627641112
total:73670859154
total:74293182028
total:74540662833
total:74940918155
total:75105830265
total:76648520222
total:71185326923
total:73014262492
total:74538721739
total:78884913453
total:113101864485
total:115714058256
total:116247769428
total:116508354865
total:117009681328
total:117049004277
total:117396792726
total:117346610565
total:117904763636
total:117194725205
total:118368133405
total:118545864672
total:119839817614
total:120149523137
total:120492409497
total:121709200997
total:120819173494
total:122368769460
total:126407204297
total:138594522093
total:181544788407
total:184558968464
total:185435073396
total:186052357578
total:187898723001
total:188125614106
total:191532687876
total:190574483216
total:191539928586
total:191905334152
total:192894661759
total:193607331443
total:194118859438
total:194002933074
total:193880016326
total:197734060799
total:199205009405
total:201888325861
total:205947753958
total:207017801530
total:256797905658
total:260931558273
total:261793481097
total:262464224233
total:262508615123
total:264146690807
total:265473036537
total:265218604359
total:266807533374
total:267548317706
total:267678642230
total:268165615841
total:270032156998
total:271113610753
total:274341829005
total:277337022882
total:274957330027
total:283538099462
total:279505796050
total:295319637263
total:320291092362
total:326670598428
total:327271779680
total:328156256615
total:328958901614
total:329521567704
total:330258771702
total:333594843754
total:334131621793
total:334645352111
total:336034649992
total:336932064177
total:337350202631
total:338206070864
total:340262501944
total:341409550194
total:340412909520
total:351424687729
total:355071103825
total:357039907806
total:420709372845
total:421090381834
total:425139964953
total:426064643154
total:426177792764
total:427071505728
total:429674319580
total:430330899950
total:431784781956
total:431400458698
total:432997900462
total:433607011299
total:433737040787
total:440465666271
total:442258182451
total:444622593022
total:445866918562
total:453848333188
total:453087501683
total:461586620867
total:525091555047
total:528337919993
total:529886853360
total:530495744472
total:532884761010
total:533655183278
total:536505231392
total:537894491208
total:538188201303
total:539777342168
total:542877253800
total:543781240613
total:543995095194
total:546236286102
total:546577779225
total:550117114972
total:566902676820
total:567909222382
total:576198678965
total:597254684859
total:650719602903
total:653846702242
total:654327069417
total:655717946999
total:656935740205
total:658121679311
total:659537876190
total:659425963121
total:660068073073
total:660815408311
total:663859235128
total:664152406207
total:667267499088
total:667857541727
total:671521397891
total:673804882160
total:702604539745
total:712929423475
total:714177744104
total:725168442970
total:6947747269
total:6588135971
total:7358984704
total:7023018818
total:7445758788
total:7922759937
total:7771599075
total:8290830621
total:7344111756
total:8118455861
total:7718841215
total:7548870317
total:7548222601
total:8164569391
total:7838715569
total:9640232985
total:7510738610
total:7906393110
total:8297937240
total:7853585099
total:17333484986
total:17623389431
total:18553917281
total:20503900705
total:20842354451
total:22015779557
total:21821843874
total:23906393839
