Workers,time,radius
32,1710392905,2
32,3571925822,4
32,6275573631,6
32,9318822068,8
32,14269550627,10
32,19892171630,12
32,24317512587,14
32,30364706802,16
32,37655983160,18
32,45968908685,20
